Tx;Rx;Distance
-53;-67;1
-53;-67;1
-54;-67;1
-54;-67;1
-54;-67;1
-54;-67;1
-54;-65;1
-54;-65;1
-53;-69;1
-53;-69;1
-54;-66;1
-54;-66;1
-53;-69;1
-53;-69;1
-50;-71;1
-50;-71;1
-50;-71;1
-50;-71;1
-50;-71;1
-50;-71;1
-53;-69;1
-53;-69;1
-53;-69;1
-53;-69;1
-53;-69;1
-53;-69;1
-54;-66;1
-54;-66;1
-54;-66;1
-50;-71;1
-50;-71;1
-54;-52;1
-54;-52;1
-54;-52;1
-50;-71;1
-50;-71;1
-54;-67;1
-54;-67;1
-50;-71;1
-50;-71;1
-54;-66;1
-54;-66;1
-53;-69;1
-53;-69;1
-50;-58;1
-50;-58;1
-54;-66;1
-54;-66;1
-50;-71;1
-50;-71;1
-50;-71;1
-50;-71;1
-50;-71;1
-53;-69;1
-53;-69;1
-53;-69;1
-53;-69;1
-53;-69;1
-53;-69;1
-50;-72;1
-50;-72;1
-50;-72;1
-50;-72;1
-50;-72;1
-50;-72;1
-54;-51;1
-54;-51;1
-54;-51;1
-54;-51;1
-54;-51;1
-50;-71;1
-50;-71;1
-50;-71;1
-53;-69;1
-53;-69;1
-50;-71;1
-50;-71;1
-54;-66;1
-54;-66;1
-50;-58;1
-53;-69;1
-53;-69;1
-50;-58;1
-50;-58;1
-53;-69;1
-53;-69;1
-53;-69;1
-53;-69;1
-53;-69;1
-53;-69;1
-53;-69;1
-53;-69;1
-54;-66;1
-54;-66;1
-54;-66;1
-54;-66;1
-54;-66;1
-54;-66;1
-53;-68;1
-53;-68;1
-54;-66;1
-54;-66;1
-53;-52;1
-53;-52;1
-54;-66;1
-54;-66;1
-50;-72;1
-50;-72;1
-53;-69;1
-53;-69;1
-50;-71;1
-50;-71;1
-53;-69;1
-53;-69;1
-54;-65;1
-54;-65;1
-54;-65;1
-54;-65;1
-54;-65;1
-54;-65;1
-50;-71;1
-50;-71;1
-53;-53;1
-53;-53;1
-50;-71;1
-50;-71;1
-50;-71;1
-50;-71;1
